2025-09-06 17:33:50,697 - INFO - ✅ Arduino ready and optimized
2025-09-06 17:33:50,708 - INFO - 🚀 Optimized Robot Controller Initialized
2025-09-06 17:33:50,708 - INFO - 📐 Differential Drive Specifications:
2025-09-06 17:33:50,708 - INFO -    Wheel diameter: 5.0 cm
2025-09-06 17:33:50,709 - INFO -    Wheel base: 15.0 cm
2025-09-06 17:33:50,709 - INFO -    Left motor: 4993 ticks/rev
2025-09-06 17:33:50,709 - INFO -    Right motor: 4966 ticks/rev
2025-09-06 17:33:50,709 - INFO -    Left resolution: 0.031 mm/tick
2025-09-06 17:33:50,709 - INFO -    Right resolution: 0.032 mm/tick
2025-09-06 17:33:50,709 - INFO -    360° turn needs: L=14979 ticks, R=14898 ticks
2025-09-06 17:33:50,710 - INFO - 🔄 High-performance threads started
2025-09-06 17:33:54,028 - INFO - 🔄 Movement: L=11 ticks (0.3mm), R=8 ticks (0.3mm), Center=0.3mm, Turn=-0.0°
2025-09-06 17:33:54,048 - INFO - 🔄 Movement: L=18 ticks (0.6mm), R=13 ticks (0.4mm), Center=0.5mm, Turn=-0.1°
2025-09-06 17:33:54,069 - INFO - 🔄 Movement: L=24 ticks (0.8mm), R=18 ticks (0.6mm), Center=0.7mm, Turn=-0.1°
2025-09-06 17:33:54,090 - INFO - 🔄 Movement: L=31 ticks (1.0mm), R=22 ticks (0.7mm), Center=0.8mm, Turn=-0.1°
2025-09-06 17:33:54,095 - INFO - 🔄 Movement: L=11 ticks (0.3mm), R=8 ticks (0.3mm), Center=0.3mm, Turn=-0.0°
2025-09-06 17:33:54,106 - INFO - 🔄 Movement: L=33 ticks (1.0mm), R=27 ticks (0.9mm), Center=0.9mm, Turn=-0.1°
2025-09-06 17:33:54,112 - INFO - 🔄 Movement: L=11 ticks (0.3mm), R=8 ticks (0.3mm), Center=0.3mm, Turn=-0.0°
2025-09-06 17:33:54,127 - INFO - 🔄 Movement: L=37 ticks (1.2mm), R=30 ticks (0.9mm), Center=1.1mm, Turn=-0.1°
2025-09-06 17:33:54,133 - INFO - 🔄 Movement: L=13 ticks (0.4mm), R=10 ticks (0.3mm), Center=0.4mm, Turn=-0.0°
2025-09-06 17:33:54,149 - INFO - 🔄 Movement: L=39 ticks (1.2mm), R=32 ticks (1.0mm), Center=1.1mm, Turn=-0.1°
2025-09-06 17:33:54,154 - INFO - 🔄 Movement: L=12 ticks (0.4mm), R=10 ticks (0.3mm), Center=0.3mm, Turn=-0.0°
2025-09-06 17:33:54,170 - INFO - 🔄 Movement: L=42 ticks (1.3mm), R=34 ticks (1.1mm), Center=1.2mm, Turn=-0.1°
2025-09-06 17:33:54,175 - INFO - 🔄 Movement: L=14 ticks (0.4mm), R=12 ticks (0.4mm), Center=0.4mm, Turn=-0.0°
2025-09-06 17:33:54,191 - INFO - 🔄 Movement: L=44 ticks (1.4mm), R=37 ticks (1.2mm), Center=1.3mm, Turn=-0.1°
2025-09-06 17:33:54,197 - INFO - 🔄 Movement: L=12 ticks (0.4mm), R=10 ticks (0.3mm), Center=0.3mm, Turn=-0.0°
2025-09-06 17:33:54,208 - INFO - 🔄 Movement: L=46 ticks (1.4mm), R=40 ticks (1.3mm), Center=1.4mm, Turn=-0.1°
2025-09-06 17:33:54,214 - INFO - 🔄 Movement: L=14 ticks (0.4mm), R=12 ticks (0.4mm), Center=0.4mm, Turn=-0.0°
2025-09-06 17:33:54,230 - INFO - 🔄 Movement: L=49 ticks (1.5mm), R=42 ticks (1.3mm), Center=1.4mm, Turn=-0.1°
2025-09-06 17:33:54,251 - INFO - 🔄 Movement: L=53 ticks (1.7mm), R=46 ticks (1.5mm), Center=1.6mm, Turn=-0.1°
2025-09-06 17:33:54,272 - INFO - 🔄 Movement: L=53 ticks (1.7mm), R=47 ticks (1.5mm), Center=1.6mm, Turn=-0.1°
2025-09-06 17:33:54,295 - INFO - 🔄 Movement: L=57 ticks (1.8mm), R=50 ticks (1.6mm), Center=1.7mm, Turn=-0.1°
2025-09-06 17:33:54,316 - INFO - 🔄 Movement: L=57 ticks (1.8mm), R=51 ticks (1.6mm), Center=1.7mm, Turn=-0.1°
2025-09-06 17:33:54,332 - INFO - 🔄 Movement: L=61 ticks (1.9mm), R=56 ticks (1.8mm), Center=1.8mm, Turn=-0.1°
2025-09-06 17:33:54,353 - INFO - 🔄 Movement: L=62 ticks (2.0mm), R=56 ticks (1.8mm), Center=1.9mm, Turn=-0.1°
2025-09-06 17:33:54,375 - INFO - 🔄 Movement: L=61 ticks (1.9mm), R=55 ticks (1.7mm), Center=1.8mm, Turn=-0.1°
2025-09-06 17:33:54,397 - INFO - 🔄 Movement: L=66 ticks (2.1mm), R=61 ticks (1.9mm), Center=2.0mm, Turn=-0.1°
2025-09-06 17:33:54,418 - INFO - 🔄 Movement: L=64 ticks (2.0mm), R=59 ticks (1.9mm), Center=1.9mm, Turn=-0.1°
2025-09-06 17:33:54,439 - INFO - 🔄 Movement: L=64 ticks (2.0mm), R=58 ticks (1.8mm), Center=1.9mm, Turn=-0.1°
2025-09-06 17:33:54,455 - INFO - 🔄 Movement: L=60 ticks (1.9mm), R=55 ticks (1.7mm), Center=1.8mm, Turn=-0.1°
2025-09-06 17:33:54,460 - INFO - 🔄 Movement: L=11 ticks (0.3mm), R=10 ticks (0.3mm), Center=0.3mm, Turn=-0.0°
2025-09-06 17:33:54,477 - INFO - 🔄 Movement: L=58 ticks (1.8mm), R=53 ticks (1.7mm), Center=1.8mm, Turn=-0.1°
