2025-09-15 11:06:04,749 - INFO - ✅ Arduino ready and optimized
2025-09-15 11:06:04,749 - INFO - 🚀 Optimized Robot Controller Initialized
2025-09-15 11:06:04,749 - INFO - 📐 Differential Drive Specifications:
2025-09-15 11:06:04,749 - INFO -    Wheel diameter: 3.5 cm
2025-09-15 11:06:04,749 - INFO -    Wheel base: 10.0 cm
2025-09-15 11:06:04,749 - INFO -    Left motor: 4993 ticks/rev
2025-09-15 11:06:04,749 - INFO -    Right motor: 4966 ticks/rev
2025-09-15 11:06:04,749 - INFO -    Left resolution: 0.022 mm/tick
2025-09-15 11:06:04,749 - INFO -    Right resolution: 0.022 mm/tick
2025-09-15 11:06:04,749 - INFO -    360° turn needs: L=14266 ticks, R=14189 ticks
2025-09-15 11:06:04,750 - INFO - 🔄 High-performance threads started
2025-09-15 11:06:08,131 - INFO - 🔄 Movement: L=-11 ticks (0.2mm), R=-7 ticks (0.2mm), Center=0.2mm, Turn=0.0°
2025-09-15 11:06:08,152 - INFO - 🔄 Movement: L=-20 ticks (0.4mm), R=-16 ticks (0.4mm), Center=0.4mm, Turn=0.0°
2025-09-15 11:06:08,172 - INFO - 🔄 Movement: L=-25 ticks (0.6mm), R=-22 ticks (0.5mm), Center=0.5mm, Turn=0.0°
2025-09-15 11:06:08,193 - INFO - 🔄 Movement: L=-30 ticks (0.7mm), R=-25 ticks (0.6mm), Center=0.6mm, Turn=0.1°
2025-09-15 11:06:08,213 - INFO - 🔄 Movement: L=-33 ticks (0.7mm), R=-26 ticks (0.6mm), Center=0.7mm, Turn=0.1°
2025-09-15 11:06:08,233 - INFO - 🔄 Movement: L=-33 ticks (0.7mm), R=-26 ticks (0.6mm), Center=0.7mm, Turn=0.1°
2025-09-15 11:06:08,254 - INFO - 🔄 Movement: L=-36 ticks (0.8mm), R=-29 ticks (0.6mm), Center=0.7mm, Turn=0.1°
2025-09-15 11:06:08,259 - INFO - 🔄 Movement: L=-11 ticks (0.2mm), R=-9 ticks (0.2mm), Center=0.2mm, Turn=0.0°
2025-09-15 11:06:08,275 - INFO - 🔄 Movement: L=-37 ticks (0.8mm), R=-32 ticks (0.7mm), Center=0.8mm, Turn=0.1°
2025-09-15 11:06:08,282 - INFO - 🔄 Movement: L=-15 ticks (0.3mm), R=-12 ticks (0.3mm), Center=0.3mm, Turn=0.0°
2025-09-15 11:06:08,291 - INFO - 🔄 Movement: L=-39 ticks (0.9mm), R=-34 ticks (0.8mm), Center=0.8mm, Turn=0.1°
2025-09-15 11:06:08,302 - INFO - 🔄 Movement: L=-15 ticks (0.3mm), R=-14 ticks (0.3mm), Center=0.3mm, Turn=0.0°
